# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.005          -2.010518e-03 6.819939e-04 0.000000e+00 0.000000e+00 6.820389e-04 0.000000e+00 -2.010518e-03 -4.502101e-08 0.000000e+00
0.01           -1.478233e-03 1.426735e-05 0.000000e+00 0.000000e+00 1.013198e-05 0.000000e+00 -1.478233e-03 4.135371e-06 0.000000e+00
0.015          -1.364543e-03 1.677282e-04 0.000000e+00 0.000000e+00 1.630834e-04 0.000000e+00 -1.364543e-03 4.644814e-06 0.000000e+00
0.02           -1.316618e-03 5.929167e-05 0.000000e+00 0.000000e+00 5.475580e-05 0.000000e+00 -1.316618e-03 4.535863e-06 0.000000e+00
0.025          -1.293462e-03 7.403739e-05 0.000000e+00 0.000000e+00 6.966569e-05 0.000000e+00 -1.293462e-03 4.371697e-06 0.000000e+00
0.03           -1.279811e-03 6.674434e-05 0.000000e+00 0.000000e+00 6.248475e-05 0.000000e+00 -1.279811e-03 4.259594e-06 0.000000e+00
0.035          -1.271193e-03 5.819676e-05 0.000000e+00 0.000000e+00 5.400770e-05 0.000000e+00 -1.271193e-03 4.189058e-06 0.000000e+00
0.04           -1.265487e-03 7.596249e-05 0.000000e+00 0.000000e+00 7.182183e-05 0.000000e+00 -1.265487e-03 4.140663e-06 0.000000e+00
0.045          -1.261454e-03 6.364435e-05 0.000000e+00 0.000000e+00 5.953795e-05 0.000000e+00 -1.261454e-03 4.106402e-06 0.000000e+00
0.05           -1.258669e-03 6.370470e-05 0.000000e+00 0.000000e+00 5.962100e-05 0.000000e+00 -1.258669e-03 4.083699e-06 0.000000e+00
0.055          -1.256643e-03 6.366301e-05 0.000000e+00 0.000000e+00 5.959670e-05 0.000000e+00 -1.256643e-03 4.066306e-06 0.000000e+00
0.06           -1.255157e-03 6.388457e-05 0.000000e+00 0.000000e+00 5.983053e-05 0.000000e+00 -1.255157e-03 4.054041e-06 0.000000e+00
0.065          -1.254056e-03 6.336370e-05 0.000000e+00 0.000000e+00 5.931880e-05 0.000000e+00 -1.254056e-03 4.044903e-06 0.000000e+00
0.07           -1.253226e-03 6.440058e-05 0.000000e+00 0.000000e+00 6.036245e-05 0.000000e+00 -1.253226e-03 4.038136e-06 0.000000e+00
0.075          -1.252599e-03 6.231867e-05 0.000000e+00 0.000000e+00 5.828576e-05 0.000000e+00 -1.252599e-03 4.032918e-06 0.000000e+00
0.08           -1.252124e-03 6.408628e-05 0.000000e+00 0.000000e+00 6.005705e-05 0.000000e+00 -1.252124e-03 4.029235e-06 0.000000e+00
0.085          -1.251752e-03 6.283367e-05 0.000000e+00 0.000000e+00 5.880753e-05 0.000000e+00 -1.251752e-03 4.026137e-06 0.000000e+00
0.09           -1.251476e-03 6.393207e-05 0.000000e+00 0.000000e+00 5.990821e-05 0.000000e+00 -1.251476e-03 4.023861e-06 0.000000e+00
0.095          -1.251257e-03 6.329041e-05 0.000000e+00 0.000000e+00 5.926841e-05 0.000000e+00 -1.251257e-03 4.021995e-06 0.000000e+00
0.1            -1.251090e-03 6.383345e-05 0.000000e+00 0.000000e+00 5.981280e-05 0.000000e+00 -1.251090e-03 4.020656e-06 0.000000e+00
0.105          -1.250958e-03 6.351792e-05 0.000000e+00 0.000000e+00 5.949838e-05 0.000000e+00 -1.250958e-03 4.019546e-06 0.000000e+00
0.11           -1.250857e-03 6.379539e-05 0.000000e+00 0.000000e+00 5.977666e-05 0.000000e+00 -1.250857e-03 4.018732e-06 0.000000e+00
0.115          -1.250777e-03 6.363268e-05 0.000000e+00 0.000000e+00 5.961463e-05 0.000000e+00 -1.250777e-03 4.018053e-06 0.000000e+00
0.12           -1.250715e-03 6.396160e-05 0.000000e+00 0.000000e+00 5.994405e-05 0.000000e+00 -1.250715e-03 4.017541e-06 0.000000e+00
0.125          -1.250665e-03 6.372618e-05 0.000000e+00 0.000000e+00 5.970907e-05 0.000000e+00 -1.250665e-03 4.017112e-06 0.000000e+00
0.13           -1.250628e-03 6.379994e-05 0.000000e+00 0.000000e+00 5.978313e-05 0.000000e+00 -1.250628e-03 4.016816e-06 0.000000e+00
0.135          -1.250597e-03 6.373621e-05 0.000000e+00 0.000000e+00 5.971962e-05 0.000000e+00 -1.250597e-03 4.016592e-06 0.000000e+00
0.14           -1.250573e-03 6.375175e-05 0.000000e+00 0.000000e+00 5.973535e-05 0.000000e+00 -1.250573e-03 4.016398e-06 0.000000e+00
0.145          -1.250555e-03 6.371784e-05 0.000000e+00 0.000000e+00 5.970160e-05 0.000000e+00 -1.250555e-03 4.016245e-06 0.000000e+00
0.15           -1.250540e-03 6.374954e-05 0.000000e+00 0.000000e+00 5.973342e-05 0.000000e+00 -1.250540e-03 4.016117e-06 0.000000e+00
0.155          -1.250528e-03 6.375754e-05 0.000000e+00 0.000000e+00 5.974152e-05 0.000000e+00 -1.250528e-03 4.016018e-06 0.000000e+00
0.16           -1.250519e-03 6.375464e-05 0.000000e+00 0.000000e+00 5.973870e-05 0.000000e+00 -1.250519e-03 4.015936e-06 0.000000e+00
0.165          -1.250512e-03 6.375517e-05 0.000000e+00 0.000000e+00 5.973929e-05 0.000000e+00 -1.250512e-03 4.015885e-06 0.000000e+00
0.17           -1.250505e-03 6.376965e-05 0.000000e+00 0.000000e+00 5.975381e-05 0.000000e+00 -1.250505e-03 4.015833e-06 0.000000e+00
0.175          -1.250501e-03 6.372679e-05 0.000000e+00 0.000000e+00 5.971100e-05 0.000000e+00 -1.250501e-03 4.015782e-06 0.000000e+00
0.18           -1.250498e-03 6.373923e-05 0.000000e+00 0.000000e+00 5.972347e-05 0.000000e+00 -1.250498e-03 4.015760e-06 0.000000e+00
0.185          -1.250494e-03 6.374317e-05 0.000000e+00 0.000000e+00 5.972742e-05 0.000000e+00 -1.250494e-03 4.015745e-06 0.000000e+00
0.19           -1.250492e-03 6.374372e-05 0.000000e+00 0.000000e+00 5.972799e-05 0.000000e+00 -1.250492e-03 4.015733e-06 0.000000e+00
0.195          -1.250491e-03 6.374282e-05 0.000000e+00 0.000000e+00 5.972711e-05 0.000000e+00 -1.250491e-03 4.015708e-06 0.000000e+00
0.2            -1.250489e-03 6.374298e-05 0.000000e+00 0.000000e+00 5.972727e-05 0.000000e+00 -1.250489e-03 4.015706e-06 0.000000e+00
0.205          -1.250488e-03 6.374173e-05 0.000000e+00 0.000000e+00 5.972602e-05 0.000000e+00 -1.250488e-03 4.015701e-06 0.000000e+00
0.21           -1.250487e-03 6.374123e-05 0.000000e+00 0.000000e+00 5.972554e-05 0.000000e+00 -1.250487e-03 4.015690e-06 0.000000e+00
0.215          -1.250486e-03 6.374113e-05 0.000000e+00 0.000000e+00 5.972545e-05 0.000000e+00 -1.250486e-03 4.015677e-06 0.000000e+00
0.22           -1.250486e-03 6.374027e-05 0.000000e+00 0.000000e+00 5.972460e-05 0.000000e+00 -1.250486e-03 4.015671e-06 0.000000e+00
