# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.005          -3.409970e-06 -1.005259e-05 2.894468e-04 -3.410195e-06 0.000000e+00 9.834799e-05 2.251051e-10 -1.005259e-05 1.910988e-04
0.01           -7.133675e-08 -7.391167e-06 1.787747e-04 -5.065989e-08 0.000000e+00 4.380315e-05 -2.067686e-08 -7.391167e-06 1.349716e-04
0.015          -8.386412e-07 -6.822717e-06 1.735771e-04 -8.154171e-07 0.000000e+00 5.041175e-05 -2.322407e-08 -6.822717e-06 1.231653e-04
0.02           -2.964583e-07 -6.583089e-06 1.619196e-04 -2.737790e-07 0.000000e+00 4.375082e-05 -2.267931e-08 -6.583089e-06 1.181687e-04
0.025          -3.701869e-07 -6.467309e-06 1.597856e-04 -3.483285e-07 0.000000e+00 4.402583e-05 -2.185848e-08 -6.467309e-06 1.157598e-04
0.03           -3.337217e-07 -6.399057e-06 1.577116e-04 -3.124237e-07 0.000000e+00 4.337300e-05 -2.129797e-08 -6.399057e-06 1.143386e-04
0.035          -2.909838e-07 -6.355967e-06 1.562075e-04 -2.700385e-07 0.000000e+00 4.276573e-05 -2.094529e-08 -6.355967e-06 1.134418e-04
0.04           -3.798125e-07 -6.327433e-06 1.564079e-04 -3.591091e-07 0.000000e+00 4.355998e-05 -2.070332e-08 -6.327433e-06 1.128480e-04
0.045          -3.182218e-07 -6.307268e-06 1.552892e-04 -2.976898e-07 0.000000e+00 4.286102e-05 -2.053201e-08 -6.307268e-06 1.124282e-04
0.05           -3.185235e-07 -6.293345e-06 1.549538e-04 -2.981050e-07 0.000000e+00 4.281514e-05 -2.041850e-08 -6.293345e-06 1.121386e-04
0.055          -3.183150e-07 -6.283216e-06 1.547055e-04 -2.979835e-07 0.000000e+00 4.277758e-05 -2.033153e-08 -6.283216e-06 1.119279e-04
0.06           -3.194228e-07 -6.275787e-06 1.545363e-04 -2.991526e-07 0.000000e+00 4.276301e-05 -2.027021e-08 -6.275787e-06 1.117733e-04
0.065          -3.168185e-07 -6.270278e-06 1.543791e-04 -2.965940e-07 0.000000e+00 4.272031e-05 -2.022451e-08 -6.270278e-06 1.116588e-04
0.07           -3.220029e-07 -6.266129e-06 1.543323e-04 -3.018122e-07 0.000000e+00 4.275980e-05 -2.019068e-08 -6.266129e-06 1.115725e-04
0.075          -3.115934e-07 -6.262993e-06 1.541537e-04 -2.914288e-07 0.000000e+00 4.264647e-05 -2.016459e-08 -6.262993e-06 1.115072e-04
0.08           -3.204314e-07 -6.260618e-06 1.541880e-04 -3.002852e-07 0.000000e+00 4.273019e-05 -2.014618e-08 -6.260618e-06 1.114578e-04
0.085          -3.141684e-07 -6.258758e-06 1.540797e-04 -2.940377e-07 0.000000e+00 4.266053e-05 -2.013069e-08 -6.258758e-06 1.114191e-04
0.09           -3.196604e-07 -6.257382e-06 1.541031e-04 -2.995411e-07 0.000000e+00 4.271255e-05 -2.011931e-08 -6.257382e-06 1.113905e-04
0.095          -3.164520e-07 -6.256286e-06 1.540453e-04 -2.963421e-07 0.000000e+00 4.267753e-05 -2.010998e-08 -6.256286e-06 1.113677e-04
0.1            -3.191673e-07 -6.255452e-06 1.540533e-04 -2.990640e-07 0.000000e+00 4.270294e-05 -2.010328e-08 -6.255452e-06 1.113504e-04
0.105          -3.175896e-07 -6.254790e-06 1.540221e-04 -2.974919e-07 0.000000e+00 4.268545e-05 -2.009773e-08 -6.254790e-06 1.113366e-04
0.11           -3.189770e-07 -6.254287e-06 1.540243e-04 -2.988833e-07 0.000000e+00 4.269818e-05 -2.009366e-08 -6.254287e-06 1.113262e-04
0.115          -3.181634e-07 -6.253885e-06 1.540071e-04 -2.980732e-07 0.000000e+00 4.268925e-05 -2.009026e-08 -6.253885e-06 1.113178e-04
0.12           -3.198080e-07 -6.253577e-06 1.540167e-04 -2.997203e-07 0.000000e+00 4.270527e-05 -2.008771e-08 -6.253577e-06 1.113114e-04
